Date Time;Time inactive;Date Time;Time cooling;Date Time;Time heating;Date Time;Time hot water
1/8/2019, 12:00:00 PM;12.32;1/8/2019, 12:00:00 PM;0;1/8/2019, 12:00:00 PM;6.72;1/8/2019, 12:00:00 PM;4.74
1/9/2019, 12:00:00 PM;16.6;1/9/2019, 12:00:00 PM;0;1/9/2019, 12:00:00 PM;7.2;1/9/2019, 12:00:00 PM;0
1/10/2019, 12:00:00 PM;11.22;1/10/2019, 12:00:00 PM;0;1/10/2019, 12:00:00 PM;8.22;1/10/2019, 12:00:00 PM;4.3
1/11/2019, 12:00:00 PM;11.2;1/11/2019, 12:00:00 PM;0;1/11/2019, 12:00:00 PM;7.26;1/11/2019, 12:00:00 PM;3.34
1/12/2019, 12:00:00 PM;16.16;1/12/2019, 12:00:00 PM;0;1/12/2019, 12:00:00 PM;4.7;1/12/2019, 12:00:00 PM;2.94
1/13/2019, 12:00:00 PM;16.18;1/13/2019, 12:00:00 PM;0;1/13/2019, 12:00:00 PM;5.08;1/13/2019, 12:00:00 PM;0.58
1/14/2019, 12:00:00 PM;13.12;1/14/2019, 12:00:00 PM;0;1/14/2019, 12:00:00 PM;4.9;1/14/2019, 12:00:00 PM;5.76
1/15/2019, 12:00:00 PM;16.78;1/15/2019, 12:00:00 PM;0;1/15/2019, 12:00:00 PM;7.02;1/15/2019, 12:00:00 PM;0
1/16/2019, 12:00:00 PM;11.24;1/16/2019, 12:00:00 PM;0;1/16/2019, 12:00:00 PM;8.16;1/16/2019, 12:00:00 PM;4.36
1/17/2019, 12:00:00 PM;15.36;1/17/2019, 12:00:00 PM;0;1/17/2019, 12:00:00 PM;7.4;1/17/2019, 12:00:00 PM;0.98
