Date Time;Expansion valve;Date Time;Current consumption C1
11/21/2018, 6:00:00 AM;297;11/21/2018, 6:00:00 AM;3.8
11/21/2018, 8:00:00 AM;298;11/21/2018, 8:00:00 AM;3.8
11/21/2018, 10:00:00 AM;284;11/21/2018, 10:00:00 AM;3.8
11/21/2018, 12:00:00 PM;292;11/21/2018, 12:00:00 PM;3.8
11/21/2018, 2:00:00 PM;304;11/21/2018, 2:00:00 PM;3.8
11/21/2018, 4:00:00 PM;280;11/21/2018, 4:00:00 PM;3.8
11/21/2018, 6:00:00 PM;292;11/21/2018, 6:00:00 PM;3.8
11/21/2018, 8:00:00 PM;244;11/21/2018, 8:00:00 PM;4.9
11/21/2018, 10:00:00 PM;279;11/21/2018, 10:00:00 PM;3.8
11/22/2018, 12:00:00 AM;287;11/22/2018, 12:00:00 AM;3.8
11/22/2018, 2:00:00 AM;256;11/22/2018, 2:00:00 AM;4.9
11/22/2018, 4:00:00 AM;270;11/22/2018, 4:00:00 AM;3.9
11/22/2018, 6:00:00 AM;291;11/22/2018, 6:00:00 AM;3.8
11/22/2018, 8:00:00 AM;278;11/22/2018, 8:00:00 AM;3.8
11/22/2018, 10:00:00 AM;284;11/22/2018, 10:00:00 AM;3.8
11/22/2018, 12:00:00 PM;293;11/22/2018, 12:00:00 PM;3.8
11/22/2018, 2:00:00 PM;282;11/22/2018, 2:00:00 PM;3.9
11/22/2018, 4:00:00 PM;286;11/22/2018, 4:00:00 PM;3.9
11/22/2018, 6:00:00 PM;295;11/22/2018, 6:00:00 PM;3.7
11/22/2018, 8:00:00 PM;297;11/22/2018, 8:00:00 PM;4.2
