Date Time;T compressed gas C1;Date Time;TcC1 CH (out);Date Time;TcC1 DHW (out);Date Time;TeC1 CH (in);Date Time;TeC1 DHW (in);Date Time;TcC1 (out);Date Time;TeC1 (in)
9/30/2018, 2:00:00 AM;47.2;11/13/2018, 4:00:00 AM;27;10/3/2018, 4:00:00 AM;57.8;11/13/2018, 4:00:00 AM;3.9;10/3/2018, 4:00:00 AM;6.1;;;;
9/30/2018, 4:00:00 AM;67.6;11/13/2018, 6:00:00 AM;24.5;10/3/2018, 8:00:00 PM;39.3;11/13/2018, 6:00:00 AM;4.8;10/3/2018, 8:00:00 PM;5.6;;;;
9/30/2018, 6:00:00 AM;49.5;11/13/2018, 8:00:00 AM;27.6;10/3/2018, 10:00:00 PM;55.8;11/13/2018, 8:00:00 AM;4.3;10/3/2018, 10:00:00 PM;6.1;;;;
9/30/2018, 8:00:00 AM;45.6;11/14/2018, 2:00:00 AM;25.6;10/4/2018, 6:00:00 AM;44.6;11/14/2018, 2:00:00 AM;4.6;10/4/2018, 6:00:00 AM;8;;;;
10/1/2018, 2:00:00 AM;66;11/14/2018, 4:00:00 AM;28.1;10/4/2018, 8:00:00 PM;35.2;11/14/2018, 4:00:00 AM;4;10/4/2018, 8:00:00 PM;5.1;;;;
10/1/2018, 4:00:00 AM;85.8;11/14/2018, 6:00:00 AM;26.8;10/4/2018, 10:00:00 PM;53.5;11/14/2018, 6:00:00 AM;4.9;10/4/2018, 10:00:00 PM;5.7;;;;
10/2/2018, 2:00:00 AM;64.8;11/14/2018, 8:00:00 AM;28.4;10/6/2018, 2:00:00 AM;44.3;11/14/2018, 8:00:00 AM;4.3;10/6/2018, 2:00:00 AM;5.9;;;;
10/2/2018, 4:00:00 AM;84.5;11/14/2018, 2:00:00 PM;26.9;10/6/2018, 4:00:00 AM;57.8;11/14/2018, 2:00:00 PM;4.7;10/6/2018, 4:00:00 AM;6.3;;;;
10/2/2018, 6:00:00 AM;46.8;11/15/2018, 12:00:00 AM;26.6;10/7/2018, 2:00:00 AM;45.9;11/15/2018, 12:00:00 AM;4.6;10/7/2018, 2:00:00 AM;6.2;;;;
10/2/2018, 10:00:00 AM;46.3;11/15/2018, 4:00:00 AM;27.8;10/7/2018, 4:00:00 AM;58.5;11/15/2018, 4:00:00 AM;3.9;10/7/2018, 4:00:00 AM;6.4;;;;
10/2/2018, 12:00:00 PM;44.9;11/15/2018, 8:00:00 AM;27.9;10/8/2018, 2:00:00 AM;37.3;11/15/2018, 8:00:00 AM;4.6;10/8/2018, 2:00:00 AM;5.4;;;;
10/2/2018, 2:00:00 PM;47.8;11/15/2018, 10:00:00 PM;26.7;10/8/2018, 4:00:00 AM;54.7;11/15/2018, 10:00:00 PM;3.7;10/8/2018, 4:00:00 AM;6;;;;
10/2/2018, 4:00:00 PM;49;11/16/2018, 12:00:00 AM;18.2;10/9/2018, 2:00:00 AM;39.5;11/16/2018, 12:00:00 AM;11.8;10/9/2018, 2:00:00 AM;5.6;;;;
10/3/2018, 2:00:00 AM;59.9;11/16/2018, 2:00:00 AM;27.6;10/9/2018, 4:00:00 AM;55.6;11/16/2018, 2:00:00 AM;4.4;10/9/2018, 4:00:00 AM;6.2;;;;
10/3/2018, 4:00:00 AM;82;11/16/2018, 4:00:00 AM;27.1;10/10/2018, 2:00:00 AM;44.8;11/16/2018, 4:00:00 AM;4.2;10/10/2018, 2:00:00 AM;6;;;;
10/3/2018, 10:00:00 AM;45;11/16/2018, 8:00:00 AM;26.4;10/10/2018, 4:00:00 AM;58.1;11/16/2018, 8:00:00 AM;4;10/10/2018, 4:00:00 AM;6.4;;;;
10/3/2018, 8:00:00 PM;53.8;11/16/2018, 10:00:00 AM;26.4;10/11/2018, 2:00:00 AM;32.8;11/16/2018, 10:00:00 AM;4.1;10/11/2018, 2:00:00 AM;5.1;;;;
10/3/2018, 10:00:00 PM;78.1;11/16/2018, 8:00:00 PM;26.7;10/11/2018, 4:00:00 AM;51.1;11/16/2018, 8:00:00 PM;4.4;10/11/2018, 4:00:00 AM;5.9;;;;
